"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"PSA"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"ACD ApKa"	"ACD BpKa"	"ACD LogP"	"ACD LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA Lipinski"	"HBD Lipinski"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Molecular Species"	"Molecular Formula"	"Smiles"
"CHEMBL2108809"	"SULESOMAB"	"IMMU-MN3|LEUKOSCAN|SULESOMAB|TECHNETIUM (99MTC) SULESOMAB|TECHNETIUM TC 99M SULESOMAB"	"Antibody"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201647"	"SUGAR, INVERT"	"INVERT SUGAR|Invert sugar|SUGAR, INVERT"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109487"	"RG-1512"	"RG-1512"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108872"	"TOLEVAMER SODIUM"	"GT160-246|TOLEVAMER SODIUM"	"Small molecule"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109332"	"MLNM-2201"	"LDP-01|MLNM-2201"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1200663"	"TECHNETIUM TC 99M LIDOFENIN"	"TECHNESCAN HIDA|TECHNETIUM (99MTC) LIDOFENIN|TECHNETIUM TC 99M LIDOFENIN|TECHNETIUM TC-99M LIDOFENIN KIT|Technetium (99Mtc) Lidofenin"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545417"	"GLPG0492"	"DT-200|GLPG0492"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109079"	"HYETELLOSE"	"HYETELLOSE"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109546"	"SAR-279356"	"F598|SAR-279356"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109462"	"C01275"	"C01275"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3544940"	"G1T28-1"	"G1T28-1"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109269"	"HUMAX-CD38"	"HUMAX-CD38"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201410"	"TECHNETIUM TC 99M ALBUMIN"	"TECHNETIUM TC 99M ALBUMIN|TECHNETIUM TC 99M HSA|TECHNETIUM TC-99M ALBUMIN KIT|Technetium tc-99m albumin kit"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201409"	"TECHNETIUM TC 99M ALBUMIN COLLOID"	"MICROLITE|TECHNETIUM TC 99M ALBUMIN COLLOID|TECHNETIUM TC-99M ALBUMIN COLLOID KIT|Technetium tc-99m albumin colloid kit"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108028"	"ENFILCON A"	"ENFILCON A"	"Unknown"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2110555"	"TECHNETIUM MEBROFENIN"	""	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109279"	"RG-7598"	"DFRF4539A|RG-7598"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3301592"	"SODIUM ZIRCONIUM CYCLOSILICATE"	"SODIUM ZIRCONIUM CYCLOSILICATE|UXSI-9|ZS|ZS-9"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"1"	""	""	""	""	""	""	""	""
"CHEMBL2109228"	"MAGNESIUM ASPARTATE"	"MAG-A (MAG 10MMOL)|MAGNASPARTATE (MAG 10MMOL)|MAGNASPARTATE(MAG 10MMOL)|MAGNESIOCARD (MAG 2.5MMOL)|MAGNESIOCARD (MAG 5MMOL)|MAGNESIUM ASPARTATE"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3989727"	"VITAMIN E"	"ALPHA-TOCOPHEROL|AQUASOL E|Alpha Tocopherol|BIO-E-VIT|DAVINA|E-CAPS|Eprolin|FORT-E-VITE|FORT-E-VITE 1000|FORT-E-VITE PLUS|FORT-E-VITE SUPER PLUS|HARRIS|JARROW FOR|Natopherol|SIGMA|TOCOPHEROL|TOCOPHEROL (VIT E)|TOCOPHERYL ACETATE, D-ALPHA|TOCOPHERYL ACETATE, DL-ALPHA|TOCOPHERYL ACID SUCCINATE, D-ALPHA|Tocopherol|VITAMIN E"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2107888"	"TALIZUMAB"	"C21/AL-90|HU-901|TALIZUMAB|TNX-901"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109171"	"DIBOTERMIN ALFA"	"DIBOTERMIN ALFA"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109266"	"AVE-9633"	"AVE-9633|HUMY9-6"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2110552"	"TECHNETIUM SESTAMIBI"	""	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2110554"	"TECHNETIUM ETIDRONATE"	""	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545332"	"CEP-2563"	"CEP-2563"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109177"	"ODULIMOMAB"	"AFOLIMOMAB|ANTI-LFA1|ODULIMOMAB|Odulimomab"	"Antibody"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201600"	"RABIES IMMUNE GLOBULIN"	"BAYRAB|IMOGAM|RABIES IMMUNE GLOBULIN|RABIES IMMUNOGLOBULIN|Rabies immunoglobulin"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201524"	"TECHNETIUM (99MTC) APCITIDE"	"ACUTECT|TECHNETIUM (99MTC) APCITIDE|TECHNETIUM TC 99M APCITIDE|TECHNETIUM TC-99M APCITIDE|[99MTC]-P246"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1743076"	"TADOCIZUMAB"	"C4G1|TADOCIZUMAB|YM-337"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2111131"	""	""	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109633"	"IMGN-388"	"IMGN-388"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108181"	"CHERRY JUICE"	"CHERRY JUICE|SYRUPUS CERASI"	"Unknown"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109558"	"MU-J591"	"MU-J591"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108458"	"NELFILCON A"	"NELFILCON A"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3707355"	"AZD8108"	"AZD8108"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545012"	"DSP-2230"	"DSP-2230"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201480"	"POLYTETRAFLUOROETHYLENE"	"POLYTETRAFLUOROETHYLENE"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108018"	"ADECATUMUMAB"	"ADECATUMUMAB|Adecatumumab|MT-201"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109370"	"T84.66"	"T84.66"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109539"	"RG-7652"	"RG-7652"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3544958"	"CER-002"	"CER-002"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108045"	"PRITUMUMAB"	"PRITUMUMAB|Pritumumab"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201526"	"TECHNETIUM TC 99M (PYRO- AND TRIMETA-) PHOSPHATES"	"PYROLITE|TECHNETIUM TC 99M (PYRO- AND TRIMETA-) PHOSPHATES|TECHNETIUM TC-99M PYRO/TRIMETA PHOSPHATES KIT|Technetium tc-99m pyro/trimeta phosphates kit"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109481"	"ICM3"	"ICM3"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545389"	"LY2245461"	"LY2245461"	"Small molecule"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201688"	"FOMIVIRSEN"	"FOMIVIRSEN"	"Oligonucleotide"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2110573"	"INDIUM OXYQUINOLINE"	""	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108320"	"IODINE (124I) GIRENTUXIMAB"	"IODINE (124I) GIRENTUXIMAB"	"Antibody"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2107948"	"PARAFORMALDEHYDE"	"PARAFORMALDEHYDE|TRIOXYMETHYLENE"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201466"	"ESTROGENS, CONJUGATED SYNTHETIC A"	"CENESTIN|ESTROGENS, CONJUGATED SYNTHETIC A|Estrogens, conjugated synthetic a|SYNTHETIC CONJUGATED ESTROGENS A"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108401"	"ENLIMOMAB PEGOL"	"BIRR-1|ENLIMOMAB PEGOL|Enlimomab pegol|R6.5"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108775"	"PODOPHYLLUM RESIN"	"PODOPH|PODOPH CO|PODOPHYLLIN|PODOPHYLLUM RESIN"	"Unknown"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109250"	"TGN-1412"	"CD28-SUPERMAB|TGN-1412"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109483"	"SC-1"	"SC-1"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108584"	"COMFILCON A"	"COMFILCON A|NFB-02"	"Unknown"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109503"	"LMB-9"	"B3 (DSFV) -PE (PSEUDOMONAS AERUGINOSA EXOTOXIN A)38|LMB-9"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108967"	"LERDELIMUMAB"	"CAT-152|LERDELIMUMAB|Lerdelimumab|TRABIO"	"Antibody"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545268"	"MLN3126"	"MLN3126"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109438"	"MBL-HCV-1"	"MBL-HCV-1"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3833364"	"HYDRARGAPHEN"	"HYDRARGAPHEN|PENOTRANE"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109364"	"AR-20.5"	"AR-20.5"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545383"	"RG-7167"	"RG-7167"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1201488"	"SECRETIN SYNTHETIC HUMAN"	"CHIRHOSTIM|SECRETIN SYNTHETIC HUMAN|Secretin Synthetic Human|Secretin synthetic human"	"Protein"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109362"	"RG-1550"	"R-1550|RG-1550|THEREX"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109308"	"ONCOLYSIN B"	"ONCOLYSIN B"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3544957"	"CORT 125134"	"CORT 125134"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109636"	"CACP29"	"CACP29"	"Antibody"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL1200452"	"INDIUM IN 111 OXYQUINOLINE"	"INDIUM IN 111 OXYQUINOLINE|INDIUM IN-111 OXYQUINOLINE|INDIUM OXINE|INDIUM OXINE IN 111|Indium in-111 oxyquinoline"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2110562"	"CHLORMERODRIN"	"CHLORMERODRIN|CHLORMEROPRIN|MERCLORAN|NEOHYDRIN"	"Small molecule"	"4"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545130"	"GALYFILCON A"	"GALYFILCON A"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545074"	"LEO-15520"	"LEO-15520"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2108484"	"ROSE OIL"	"ROSE OIL"	"Small molecule"	"3"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2109497"	"1-7F9"	"1-7F9"	"Antibody"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL2364643"	"DIANEXIN"	"ASP8597|DIANEXIN"	"Protein"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SEQ"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3707399"	"CX1739"	"CX1739"	"Small molecule"	"2"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
"CHEMBL3545201"	"TA-5493"	"TA-5493"	"Small molecule"	"1"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NONE"	"0"	""	""	""	""	""	""	""	""
